,precision,recall,f1-score,support
A,0.9942857142857143,0.87,0.928,400.0
B,0.9407582938388626,0.9925,0.9659367396593674,400.0
C,0.9569377990430622,1.0,0.9779951100244498,400.0
D,0.9949109414758269,0.9775,0.9861286254728877,400.0
E,1.0,0.9425,0.9703989703989705,400.0
F,1.0,0.8975,0.9459815546772068,400.0
G,0.9732360097323601,1.0,0.9864364981504316,400.0
H,0.9755501222493888,0.9975,0.9864029666254636,400.0
I,0.9899244332493703,0.9825,0.986198243412798,400.0
K,1.0,0.9875,0.9937106918238994,400.0
L,0.9900744416873449,0.9975,0.9937733499377336,400.0
M,0.9583333333333334,0.9775,0.9678217821782178,400.0
N,0.9973684210526316,0.9475,0.9717948717948718,400.0
O,0.936768149882904,1.0,0.9673518742442563,400.0
P,0.9731051344743277,0.995,0.9839307787391842,400.0
Q,0.9873417721518988,0.975,0.9811320754716981,400.0
R,0.9324009324009324,1.0,0.9650180940892642,400.0
S,0.8923766816143498,0.995,0.9408983451536643,400.0
T,0.9974554707379135,0.98,0.9886506935687264,400.0
U,0.9460154241645244,0.92,0.9328263624841572,400.0
V,1.0,0.9525,0.9756722151088347,400.0
W,0.9974683544303797,0.985,0.9911949685534591,400.0
X,0.9637681159420289,0.9975,0.9803439803439804,400.0
Y,0.9975,0.9975,0.9975,400.0
accuracy,0.9736458333333333,0.9736458333333333,0.9736458333333333,0.9736458333333333
macro avg,0.9748158144061314,0.9736458333333333,0.9735457829963968,9600.0
weighted avg,0.9748158144061314,0.9736458333333333,0.9735457829963968,9600.0
